course_id,title,facility,lat,lng,weekday,start_time,sport,tag_strength,tag_endurance,tag_flex,tag_cardio,tag_power
C1507,,장호원 국민체육센터(구: 장호원읍체육공원 다목적체육관),37.118093,127.615531,,,생활체육,1,1,0,0,0
C1508,,장호원 파크골프장,37.104098,127.632773,,,파크골프,0,0,1,0,0
C1509,,장호원읍체육공원 배드민턴장,37.119800,127.612217,,,배드민턴,0,0,0,1,1
C1510,,장호원읍체육공원 씨름장,37.119800,127.612217,,,씨름,1,0,0,0,1
C1511,,장호원읍체육공원 테니스장,37.119800,127.612217,,,테니스,0,0,0,1,1
C1512,,종합운동장 눈높이배드민턴장,37.286277,127.495330,,,배드민턴,0,0,0,1,1
C1513,,종합운동장 실내탁구장,37.286277,127.495330,,,탁구,0,0,0,1,1
C1514,,종합운동장 인라인장,37.286277,127.495330,,,롤러,0,0,0,1,1
C1515,,종합운동장 정구장,37.286277,127.495330,,,테니스,0,0,0,1,1
C1516,,종합운동장 테니스장,37.286277,127.495330,,,테니스,0,0,0,1,1
C1517,,증포동 실내체육관,37.300198,127.451763,,,생활체육,1,1,0,0,0
C1518,,호법면 농어민문화체육센터,37.215547,127.407317,,,생활체육,1,1,0,0,0
C1519,,감악정,37.948515,126.932513,,,국궁,1,0,1,0,0
C1520,,광탄테니스장,37.785595,126.847797,,,테니스,0,0,0,1,1
C1521,,교하청석스포츠센터,37.734810,126.719974,,,생활체육,1,1,0,0,0
C1522,,교하청석스포츠센터 수영장,37.734810,126.719974,,,수영,0,1,1,1,0
C1523,,교하체육공원궁도장,37.763289,126.742806,,,국궁,1,0,1,0,0
C1524,,교하체육공원테니스장,37.761953,126.741662,,,테니스,0,0,0,1,1
C1525,,금촌다목적실내체육관,37.756141,126.785768,,,생활체육,1,1,0,0,0
C1526,,금촌다목적실내체육관 수영장,37.756141,126.785768,,,수영,0,1,1,1,0
C1527,,금촌배드민턴장,37.768050,126.768284,,,배드민턴,0,0,0,1,1
C1528,,금촌체육공원 농구장,37.768050,126.768284,,,농구,0,0,0,1,1
